identifiers[0].value,identifiers[1].value,"inputs[""Base""].components[0].identifiers[0].value","inputs[""Base""].components[0].amount.moles.value","inputs[""aryl halide""].components[0].identifiers[0].value","inputs[""aryl halide""].components[0].amount.moles.value","inputs[""amine""].components[0].identifiers[0].value","inputs[""amine""].components[0].amount.moles.value","inputs[""metal and ligand""].components[0].identifiers[0].value","inputs[""metal and ligand""].components[0].amount.moles.value","inputs[""metal and ligand""].components[1].identifiers[0].type","inputs[""metal and ligand""].components[1].identifiers[0].value","inputs[""metal and ligand""].components[1].amount.moles.value","inputs[""metal and ligand""].components[1].amount.moles.units","inputs[""metal and ligand""].components[1].reaction_role",conditions.temperature.setpoint.value,notes.procedure_details,outcomes[0].products[0].identifiers[0].value,outcomes[0].products[0].measurements[0].percentage.value,provenance.experiment_start.value,reaction_id,"inputs[""Solvent""].components[0].identifiers[0].type","inputs[""Solvent""].components[0].identifiers[0].value","inputs[""Solvent""].components[0].amount.volume.value","inputs[""Solvent""].components[0].amount.volume.units","inputs[""Solvent""].components[0].reaction_role","inputs[""Solvent""].components[0].is_limiting","inputs[""metal and ligand""].components[0].is_limiting","inputs[""metal and ligand""].components[1].is_limiting","inputs[""Base""].components[0].is_limiting"
0,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.002219999907538295,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=C(C=C(C=C3)F)F)C(=O)OCC)Br,0.0008859999943524599,CC(C)N1CCNCC1,0.001769999973475933,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,8.859999798005447e-05,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],4.4299998990027234e-05,MOLE,CATALYST,110.0,"To a solution of ethyl 6-bromo-4-(2,4-difluorophenylamino)-7-ethoxyquinoline-3-carboxylate (400 mg, 0.89 mmol) and 1-(Isopropyl)piperazine (254 µl, 1.77 mmol) in dioxane was added cesium carbonate (722 mg, 2.22 mmol), tris(dibenzylideneacetone)dipalladium(0) (40.6 mg, 0.04 mmol) and rac-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl (55.2 mg, 0.09 mmol). Reaction vessel in oil bath set to 110 °C. 11am  After 5 hours, MS shows product (major peak 499), and SM (minor peak 453).  o/n, MS shows product peak. Reaction cooled, concentrated onto silica, and purified on ISCO. 40g column, 1:1 EA:Hex, then 100% EA.  289mg yellow solid. NMR (EN00180-62-1) supports product, but some oxidised BINAP impurity (LCMS 655).  ",CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=C(C=C(C=C3)F)F)C(=O)OCC)N4CCN(CC4)C(C)C,65.38999938964844,07/01/2008,ord-56b1f4bfeebc4b8ab990b9804e798aa7,,,,,,,,,
1,1.3.4 [N-arylation with Ar-X] Iodo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.01899999938905239,C1=CC=C(C=C1)I,0.009139999747276306,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC,0.007619999814778566,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0.0007619999814778566,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.00030499999411404133,MOLE,CATALYST,100.0,"9,9-Dimethyl-4,5-bis(diphenylphosphino)xanthene (441 mg, 0.76 mmol) and Tris(dibenzylideneacetone)dipalladium(0) (279 mg, 0.30 mmol) were added to a round bottom flask which was evacuated and flushed with nitrogen 3 times, anisole (16.600 ml) was added and the mixture evacuated and flushed with nitrogen 3 times and then heated to 50ºC for 10 minutes. Cesium carbonate (6204 mg, 19.04 mmol), methyl 5-amino-4-fluoro-1-methyl-1H-benzo[d]imidazole-6-carboxylate (1700 mg, 7.62 mmol) and Iodobenzene (1.023 ml, 9.14 mmol) were stirred in anisole (33.2 ml), the flask was evacuated and flushed with nitrogen three times and then heated to 50ºC. The catalyst mixture was transferred into the flask with the reactants (by syringe) and the mixture heated to 100 °C for 18 hours. The reaction mixture was diluted with isohexane (60 ml) and the solid collected by filtration and washed with more isohexane (30 ml). The solid was slurried in DCM / MeOH and adsorbed onto silica then purified by flash silica chromatography eluting with 2% 3.7N NH3 / MeOH in DCM to give methyl 4-fluoro-1-methyl-5-(phenylamino)-1H-benzo[d]imidazole-6-carboxylate (1310 mg, 57.5 %) as a yellow solid.  ",CN1C=NC2=C1C=C(C(=C2F)NC3=CC=CC=C3)C(=O)OC,57.470001220703125,05/16/2008,ord-1169cbe9fa064a879ac34b2e524a4e69,SMILES,COC1=CC=CC=C1,0.03319999948143959,LITER,SOLVENT,False,False,False,False
3,1.3.4 [N-arylation with Ar-X] Iodo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.01679999940097332,C1=CC=C(C=C1)I,0.008059999905526638,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC,0.006719999946653843,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0.0006719999946653843,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.0002690000110305846,MOLE,CATALYST,100.0,"9,9-Dimethyl-4,5-bis(diphenylphosphino)xanthene (389 mg, 0.67 mmol) and Tris(dibenzylideneacetone)dipalladium(0) (246 mg, 0.27 mmol) were added to a round bottom flask which was evacuated and flushed with nitrogen 3 times, anisole (14.900 ml) was added and the mixture evacuated and flushed with nitrogen 3 times and then heated to 50ºC for 10 minutes. Cesium carbonate (5474 mg, 16.80 mmol), methyl 5-amino-4-fluoro-1-methyl-1H-benzo[d]imidazole-6-carboxylate (1500 mg, 6.72 mmol) and Iodobenzene (0.902 ml, 8.06 mmol) were stirred in anisole (29.8 ml), the flask was evacuated and flushed with nitrogen three times and then heated to 50ºC. The catalyst mixture was transferred into the flask with the reactants (by syringe) and the mixture heated to 100 °C for 18 hours. The reaction mixture was diluted with isohexane (50 ml) the solid collected by filtration and washed with more isohexane (25 ml). The solid was slurried in dichloromethane (40 ml) and methanol (10 ml) and filtered, washing the remaining solid with more dichloromethane / methanol. The filtratre (containing product) was evaporated onto silica and purified by flash silica chromatography, eluting with 2% 3.7N NH3 / MeOH in DCM. Pure fractions were evaporated to dryness to afford methyl 4-fluoro-1-methyl-5-(phenylamino)-1H-benzo[d]imidazole-6-carboxylate (1316 mg, 65.4 %) as a light yellow solid.    ",CN1C=NC2=C1C=C(C(=C2F)NC3=CC=CC=C3)C(=O)OC,65.43000030517578,05/06/2008,ord-13992005c22d4673aa802b5e140076e8,SMILES,COC1=CC=CC=C1,0.01489999983459711,LITER,SOLVENT,False,False,False,False
4,1.3.4 [N-arylation with Ar-X] Iodo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.01679999940097332,C1=CC=C(C=C1)I,0.008059999905526638,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC,0.006719999946653843,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0.0006719999946653843,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.0002690000110305846,MOLE,CATALYST,100.0,"9,9-Dimethyl-4,5-bis(diphenylphosphino)xanthene (389 mg, 0.67 mmol) and Tris(dibenzylideneacetone)dipalladium(0) (246 mg, 0.27 mmol) were added to a round bottom flask which was evacuated and flushed with nitrogen 3 times, anisole (14.900 ml) was added and the mixture evacuated and flushed with nitrogen 3 times and then heated to 50ºC for 10 minutes. Cesium carbonate (5474 mg, 16.80 mmol), methyl 5-amino-4-fluoro-1-methyl-1H-benzo[d]imidazole-6-carboxylate (1500 mg, 6.72 mmol) and Iodobenzene (0.902 ml, 8.06 mmol) were stirred in anisole (29.800 ml), the flask was evacuated and flushed with nitrogen three times and then heated to 50ºC. The catalyst mixture was transferred into the flask with the reactants (by syringe) and the mixture heated to 100 °C for 18 hours. The reaction mixture was diluted with isohexane (50 m) and the solid collected by filtration and washed with more isohexane (25 ml). The solid was slurried in DCM / MeOH and adsorbed onto silica then purified by flash silica chromatography eluting with 2% 3.7N NH3 / MeOH in DCM to give methyl 4-fluoro-1-methyl-5-(phenylamino)-1H-benzo[d]imidazole-6-carboxylate (1510 mg, 75 %) as a light yellow solid.  ",CN1C=NC2=C1C=C(C(=C2F)NC3=CC=CC=C3)C(=O)OC,75.06999969482422,05/08/2008,ord-a36b48917c9942d1a34637511773ee1f,SMILES,COC1=CC=CC=C1,0.02979999966919422,LITER,SOLVENT,False,False,False,False
7,0.0 [Unassigned] Unrecognized,C(=O)([O-])[O-].[Cs+].[Cs+],0.0027600000612437725,CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C,0.02759999968111515,C1=CC(=CC=C1N)S(=O)(=O)N,0.03579999879002571,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0.0027600000612437725,SMILES,CC(=O)O.CC(=O)O.[Pd],0.001930000027641654,MOLE,CATALYST,150.0," 3-(2-chloropyridin-4-yloxy)-2,6-dimethylpyridine (6.47 g, 27.57 mmol), Sulfanilamide (6.17 g, 35.84 mmol), CESIUM CARBONATE (13.47 g, 41.35 mmol) and XANTPHOS (1.595 g, 2.76 mmol) were stirred in DMA (130 ml). Purged this stirred mixture by bubbling nitrogen through for an hour, then added the Palladium acetate. Heated to 130ºC in a metal block (block at 150ºC) and held at this temperature for 3 hours. LCMS (monitorbase) then showed DP as MH+ = 370.99 and MH- = 369.03 at 1.82 minutes, 84%. Allowed to cool to room temperature. The reaction mixture was evaporated to dryness at 50ºC giving __ a dirty-yellow solid residue.  Treated with 150 ml water and the resulting yellow solid filtered off and washed with water. Dried by desiccation under high vacuum over phosphorous pentoxide at room temperature to constant weight. This afforded 11.98 g pale- yellow solid [A].  LCMS(monitorbase) showed it to be DP as MH+ = 370.99 and MH- = 369.03 at 1.83 minutes, 90%.  _ _ This material was crystallised from acetonitrile; dissolved up in ~1 litre boiling acetonitrile and the cloudy solution filtered hot through a fluted paper. Crystallisation of product from the filtrate was eventually achieved, with difficulty, by rapid cooling in drikold/acetone and seeding/scratching as it warmed up. Cooled in ice/water then the solid was collected by filtration and washed with chilled acetonitrile. Dried by desiccation under high vacuum at room temperature to constant weight. This afforded 6.03 g creamy-white solid [B].  LCMS (monitorbase) then showed DP as MH+ = 370.99 and MH- = 369.03 at 1.49 minutes, 96%.  Material B was combined with the same product from P14-A and this total of 7.32 g recrystallised from the minimum of acetonitrile (~550 ml) with hot filtration again to remove trace insoluble matter. Cooled in ice/water and seeded/scratched to induce crystallisation then stood in the fridge overnight. The solid was collected by filtration and washed with chilled acetonitrile. Dried by desiccation under high vacuum initially at room temperature, then at 60°C, to constant weight. This afforded 5.04 g creamy-white solid [C].  LCMS (monitorbase) then showed DP as MH+ = 371.06 and MH- = 369.08 at 1.85 minutes, 99%.  Unfortunately nmr showed entrapped acetonitrile at an unacceptable level (~0.5 equiv.). To remove this material C was stirred in ~100 ml ether for an hour, recollected and washed with ether. Dried at 60°C as before to constant weight. This afforded 4.73 g creamy-white solid [D].  ",CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)N)C,46.31999969482422,05/15/2008,ord-5fc624fd97b7430eafbe8dcc049d170b,SMILES,CC(=O)N(C)C,0.12999999523162842,LITER,SOLVENT,False,False,False,False
8,0.0 [Unassigned] Unrecognized,C(=O)([O-])[O-].[Cs+].[Cs+],0.004259999841451645,CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C,0.04259999841451645,C1=CC(=CC=C1N)S(=O)(=O)N,0.055399999022483826,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0.004259999841451645,SMILES,CC(=O)O.CC(=O)O.[Pd],0.0029800001066178083,MOLE,CATALYST,130.0,"XANTPHOS (2.466 g, 4.26 mmol) was added to 3-(2-chloropyridin-4-yloxy)-2,6-dimethylpyridine (10g, 42.61 mmol), Sulfanilamide (9.54 g, 55.39 mmol) and CESIUM CARBONATE (20.83 g, 63.92 mmol) in DMA (200 ml) at 20ºC. Nitrogen was bubbled through the reaction mixture for 1 hour then PALLADIUM(II) ACETATE (0.670 g, 2.98 mmol) added. The suspension was stirred at 130 °C for 3 hours. The reaction mixture was filtered then evaporated to dryness. The residue was triturated with water (150 mL) and filtered to give crude product as a cream solid - 90% pure. The crude solid was triturated with hot acetonitrile (300 mL) and filtered to afford crude product as a cream solid - 98% by LCMS. This was combined with the product from EN02084-31 and dissolved in boiling acetonitrile (approx 1 L). The solution was concentrated to 500 mL and cooled to ice bath temperature with stirring. A precipitate formed which and the suspension was stirred at room temperature overnight. The solid was filtered to afford 4-(4-(2,6-dimethylpyridin-3-yloxy)pyridin-2-ylamino)benzenesulfonamide (12.00 g, 76 %) as a cream solid.  ",CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)N)C,76.02999877929688,09/11/2008,ord-c34e3f2a76e4462999414a169b276944,SMILES,CC(=O)N(C)C,0.20000000298023224,LITER,SOLVENT,False,False,False,False
9,0.0 [Unassigned] Unrecognized,C(=O)([O-])[O-].[Cs+].[Cs+],0.000846999988425523,CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C,0.00851999968290329,C1=CC(=CC=C1N)S(=O)(=O)N,0.011099999770522118,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0.000846999988425523,SMILES,CC(=O)O.CC(=O)O.[Pd],0.0005789999850094318,MOLE,CATALYST,130.0," 3-(2-chloropyridin-4-yloxy)-2,6-dimethylpyridine (2 g, 8.52 mmol), Sulfanilamide (1.91 g, 11.09 mmol), CESIUM CARBONATE (4.17 g, 12.80 mmol) and XANTPHOS (490 mg, 0.85 mmol) were stirred in DMA (40 ml). Purged this stirred mixture by bubbling nitrogen through for an hour, then added the Palladium acetate. Heated to 130ºC in a metal block (block at 150ºC) and held at this temperature for 3 hours. LCMS (monitorbase) then showed DP as MH+ = 370.99 and MH- = 369.03 at 1.83 minutes, 83%. Allowed to cool to room temperature. The reaction mixture was evaporated to dryness at 50ºC giving a light-green solid residue.  Attempted to partition this residue between DCM (~50 ml) and saturated aqueous sodium hydrogen carbonate (~50 ml). The insoluble matter was filtered off and washed through with water, then DCM. This dirty-yellow solid was dried by desiccation overnight. Wt = 2.04 g. LCMS showed it to be DP, 94%.  This material was crystallised from acetonitrile; dissolved up in ~150 ml boiling acetonitrile and the cloudy solution treated with a little Norit SX4 decolourising carbon. Filtered hot through a fluted paper. Slow crystallisation of a creamy-white solid occurred on cooling to room temperature. Cooled in ice/water then the bulky solid was collected by filtration and washed with chilled acetonitrile. Dried by desiccation under high vacuum at room temperature overnight. This afforded 1.29 g creamy-white bulky solid [A].  LCMS (monitorbase) then showed DP as MH+ = 370.99 and MH- = 369.03 at 1.83 minutes, 99%.  ",CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)N)C,40.86000061035156,05/01/2008,ord-5853dba403864121802609ae67a6fbe4,SMILES,CC(=O)N(C)C,0.03999999910593033,LITER,SOLVENT,False,False,False,False
10,0.0 [Unassigned] Unrecognized,C(=O)([O-])[O-].[Cs+].[Cs+],0.0027699999045580626,CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C,0.027699999511241913,C1=CC(=CC=C1N)S(=O)(=O)N,0.035999998450279236,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0.0027699999045580626,SMILES,CC(=O)O.CC(=O)O.[Pd],0.0019399999873712659,MOLE,CATALYST,130.0,"XANTPHOS (1.603 g, 2.77 mmol) was added to 3-(2-chloropyridin-4-yloxy)-2,6-dimethylpyridine (6.5 g, 27.70 mmol), Sulfanilamide (6.20 g, 36.01 mmol) and CESIUM CARBONATE (13.54 g, 41.55 mmol) in DMA (130 ml) at 20ºC. Nitrogen was bubbled through the reaction mixture for 1 hour then PALLADIUM(II) ACETATE (0.435 g, 1.94 mmol) added. The suspension was stirred at 130 °C for 3 hours. The reaction mixture was cooled to ambient temperature and filtered then evaporated to dryness. The residue was triturated with water (150 mL) and filtered to give crude product as a cream solid which was 90% pure by LCMS. The crude solid was triturated with hot MeCN (300 mL) to give a solid which was collected by filtration and dried under vacuum to give a cream solid (7.86g) which was 95% pure by LCMS. The solid was dissolved in the minimum amount of boiling MeCN (650 mL) and filtered to remove remaining trace solids. The filtrate was concentrated to approximately 400 mL and stirred at ice bath temperature until a precipitate formed. The suspension was stirred at room temperature overnight then filtered to afford a cream solid (6.4g) which was 100% pure by LCMS. Combined with EN02084-42 to get a single larger batch.  ",CC1=NC(=C(C=C1)OC2=CC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)N)C,62.380001068115234,09/05/2008,ord-0c597cbe4940491092243bda6c97b98c,SMILES,CC(=O)N(C)C,0.12999999523162842,LITER,SOLVENT,False,False,False,False
11,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.015599999576807022,C1=C(C=NC=C1Br)Br,0.005200000014156103,CC(=O)N1CCNCC1,0.0057299998588860035,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0.0006249999860301614,SMILES,CC(=O)O.CC(=O)O.[Pd],0.0005200000014156103,MOLE,CATALYST,140.0,"3,5-dibromopyridine (1.233 g, 5.20 mmol), 1-(piperazin-1-yl)ethanone (0.734 g, 5.73 mmol), PdOAc2 (0.117 g, 0.52 mmol), XANTPHOS (0.361 g, 0.62 mmol), Cs2CO3 (5.09 g, 15.61 mmol), 1,4-dioxane as added to a 10 mL microwave vial. This was degassed and refilled with N2 and then heated at 140 °C in microwave for 1h.  LCMS showed reaction done with the peak at Rf1.24 showed a fragment mass of 284.  Evaporated solvent. Residue purified by ISCO (0-20% MeOH in EtOAc )to get the desired product 1-(4-(5-bromopyridin-3-yl)piperazin-1-yl)ethanone (0.470 g, 31.8 %).  Trial # 1:  3,5-dibromopyridine (407 mg, 1.72 mmol), 1-(piperazin-1-yl)ethanone (231 mg, 1.81 mmol), PdOAc2 (38.6 mg, 0.17 mmol), XANTPHOS (119 mg, 0.21 mmol), Cs2CO3 (1681 mg, 5.16 mmol), 1,4-dioxane as added to a 10 mL microwave vial. This was degassed and refilled with N2 and then heated at 140 °C in microwave for 1h.  LCMS showed reaction done with the peak at Rf1.22 showed a fragment mass of 284.  Evaporated solvent. Residue purified by ISCO (0-20% MeOH in EtOAc )to get the desired product 1-(4-(5-bromopyridin-3-yl)piperazin-1-yl)ethanone (118mg, 24%).  ",CC(=O)N1CCN(CC1)C2=CC(=CN=C2)Br,31.780000686645508,04/15/2010,ord-b3c4a680709749268aeba07b670223ef,,,,,,,False,False,False
12,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.0013099999632686377,CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3,0.00043700000969693065,C1=CC(=CC=C1N)N2C=CN=C2,0.00043700000969693065,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,4.3700001697288826e-05,SMILES,CC(=O)O.CC(=O)O.[Pd],4.3700001697288826e-05,MOLE,CATALYST,100.0,"[Reactants], 8-chloro-4-methyl-2-phenyl-2,3,4,5-tetrahydropyrido[3,2-f][1,4]oxazepine (0.120 g, 0.44 mmol), Palladium(II) acetate (9.81 mg, 0.04 mmol), 2-(Dicyclohexylphosphino)biphenyl (0.015 g, 0.04 mmol) and Cesium carbonate (0.427 g, 1.31 mmol) in DME (2.5 mL) were placed in a microwave vial and flushed with argon. The reaction mixture was then run in the microwave at 100°C for 1 hr. Reaction not complete. Run for another 30 minutes in the microwave. Still not complete. Added 0.1 eq of Palladium(II)acetate and 0.1 eq of 2-(Dicyclohexylphosphino)biphenyl and let the reaction mixture run in the microwave for additional 45 minutes. Reaction complete. The reaction mixture was filtrated through celite and the filtrate was concentrated. The crude product was purified by preparative chromatography giving 0.072 g (41%) of the product.  N-(4-(1H-imidazol-1-yl)phenyl)-4-methyl-2-phenyl-2,3,4,5-tetrahydropyrido[3,2-f][1,4]oxazepin-8-amine  ",CN1CC(OC2=C(C1)C=CC(=N2)NC3=CC=C(C=C3)N4C=CN=C4)C5=CC=CC=C5,41.470001220703125,05/18/2009,ord-fa122fe6774f45c5b7a107c1460052d3,SMILES,COCCOC,0.0024999999441206455,LITER,SOLVENT,False,False,False,False
